Score,Type
0.362426254,tracked
0.794746925,tracked
0.190999027,tracked
0.418666954,tracked
0.919752083,tracked
0.141234492,tracked
0.246994778,tracked
0.435968005,tracked
0.85915773,tracked
-0.010895288,tracked
0.745188278,tracked
0.760017896,tracked
0.338165531,tracked
0.21893572,tracked
0.629174513,tracked
0.632794591,tracked
0.625764514,tracked
0.370166896,tracked
0.56875803,tracked
0.432760274,tracked
0.109714365,tracked
0.890006403,tracked
0.600246623,tracked
0.554228347,tracked
0.538631697,tracked
0.713560837,tracked
-0.00290541,tracked
0.614109348,tracked
0.146740965,tracked
0.700859598,tracked
0.673506685,tracked
0.708208724,tracked
0.7082087,tracked
0.6387443,tracked
0.1069768,tracked
0.6675066,tracked
0.5962515,tracked
0.4260271,tracked
0.6148974,tracked
0.664421,tracked
0.6994014,tracked
0.4984363,tracked
0.6460346,tracked
0.7244949,tracked
0.8787207,tracked
0.1964786,tracked
0.6177581,tracked
0.9162674,tracked
0.4006818,tracked
0.4142615,tracked
0.4164512,tracked
0.7601944,tracked
-0.1469263,tracked
0.4452831,tracked
1.247953,tracked
0.3121477,tracked
0.9631465,tracked
0.6806856,tracked
0.7092534,tracked
0.5981147,tracked
0.5456835,tracked
0.6936535,tracked
0.4366351,tracked
0.3355148,tracked
0.4722948,tracked
0.5762544,tracked
0.5336398,tracked
0.5901896,tracked
0.7870614,tracked
0.5000615,tracked
0.9443434,tracked
0.4735613,tracked
0.186182,tracked
0.5312662,tracked
0.4475145,tracked
0.5315374,tracked
0.7804996,tracked
0.3926242,tracked
0.4147637,tracked
0.6104874,tracked
0.7238002,tracked
0.519363,tracked
0.6897296,tracked
0.2090524,tracked
0.3363351,tracked
0.5594005,tracked
0.6607467,tracked
0.1549464,tracked
0.5678417,tracked
0.334863,tracked
0.5258167,tracked
0.1872483,tracked
0.6076321,tracked
0.1564943,tracked
0.1464175,tracked
0.2196838,tracked
0.1206906,tracked
0.231956,tracked
0.783607,tracked
0.4981734,tracked
0.06032062,tracked
0.6006491,tracked
0.02334266,tracked
0.3471119,tracked
0.4076984,tracked
1.150001,tracked
0.3462913,tracked
0.5020526,tracked
0.351073,tracked
0.103461,tracked
0.46986,tracked
0.5691507,tracked
0.6887138,tracked
0.9771594,tracked
0.4438101,tracked
0.7114267,tracked
0.3706316,tracked
0.6157237,tracked
-0.1476019,tracked
0.9782752,tracked
0.5369241,tracked
0.5738152,tracked
0.6897834,tracked
0.6085661,tracked
0.600639,tracked
0.4488148,tracked
0.5532498,tracked
0.3859926,tracked
0.3379083,tracked
0.1260564,tracked
0.3346259,tracked
0.0924234,tracked
0.6987079,tracked
0.7132265,tracked
0.6878583,tracked
0.9026314,tracked
0.30526,tracked
0.1107362,tracked
0.7151095,tracked
0.08608753,tracked
0.3207277,tracked
0.361131,tracked
0.6644957,tracked
0.1885438,tracked
0.3058044,tracked
0.2969508,tracked
0.371558,tracked
0.8048354,tracked
0.600699,tracked
0.2243028,tracked
0.583863,tracked
0.6507222,tracked
0.3085326,tracked
0.5016462,tracked
0.5297023,tracked
-0.05319194,tracked
0.4867482,tracked
0.229723,tracked
0.8619937,tracked
0.463523,tracked
0.5130804,tracked
0.1797065,tracked
0.1273879,tracked
0.4126514,tracked
0.8218531,tracked
0.7965353,tracked
0.4782703,tracked
0.1106569,tracked
0.5351581,tracked
0.7936842,tracked
0.7614558,tracked
0.8812776,tracked
0.5072913,tracked
0.5616504,tracked
0.5508179,tracked
-0.03259028,tracked
0.3575998,tracked
0.7457812,tracked
0.883557,tracked
0.7758762,tracked
0.01724132,tracked
0.486586,tracked
0.4746575,tracked
0.2783201,tracked
0.3710618,tracked
0.721078,tracked
0.922022345,all
0.446259641,all
0.647128104,all
0.769819135,all
0.331630938,all
0.523808103,all
0.653584208,all
0.586393534,all
0.283104048,all
0.418666954,all
0.667506622,all
0.338165531,all
0.85915773,all
0.538631697,all
0.794746925,all
0.673506685,all
0.141234492,all
0.106976813,all
0.362426254,all
0.109714365,all
0.830624284,all
0.625764514,all
0.370166896,all
-0.00290541,all
0.638744271,all
-0.010895288,all
0.919752083,all
0.629174513,all
0.614109348,all
0.21893572,all
0.596251547,all
0.713560837,all
0.190999027,all
0.426027077,all
0.146740965,all
0.432760274,all
0.760017896,all
0.632794591,all
0.56875803,all
0.435968005,all
0.745188278,all
0.400681797,all
-0.146926341,all
0.670815067,all
0.963146518,all
0.445283136,all
0.672690241,all
0.614897369,all
0.71369011,all
0.843244016,all
0.72107796,all
0.643606519,all
0.878720674,all
0.772428338,all
0.850204343,all
0.486586667,all
0.693235356,all
0.502052592,all
0.861993672,all
0.700859598,all
0.246994778,all
0.677256926,all
0.708208724,all
0.554228347,all
0.890006403,all
0.600246623,all
0.760194355,all
0.724494926,all
0.587888298,all
0.699401366,all
0.646034583,all
0.196478604,all
0.903317674,all
0.312147683,all
1.247952925,all
0.879797974,all
0.725894833,all
0.664420961,all
0.617758103,all
0.92448943,all
0.414261507,all
0.916267376,all
0.392215985,all
0.944343363,all
0.535059664,all
0.545683517,all
0.431282574,all
0.3355148,all
0.787061447,all
0.573332823,all
0.521803391,all
0.526767111,all
0.422476169,all
0.56165142,all
0.386599713,all
0.680685617,all
0.666828778,all
0.576254431,all
0.217481994,all
0.533639772,all
0.703025548,all
0.683587704,all
0.499059612,all
0.337803955,all
0.557623114,all
0.416451204,all
0.436635135,all
0.498436295,all
0.472294822,all
0.480789915,all
0.878777996,all
0.584869557,all
0.709253417,all
0.82654025,all
0.598114692,all
0.724464861,all
0.591137299,all
0.798674026,all
0.590189606,all
0.693653467,all
0.662777996,all
0.609988198,all
0.530279109,all
0.155230027,all
0.393836785,all
0.446088425,all
0.981768328,all
0.506802376,all
0.376355682,all
0.887084597,all
0.315081357,all
0.726433026,all
0.479067817,all
0.396567811,all
0.226193059,all
0.676561496,all
0.729094957,all
0.303048319,all
0.911503832,all
0.642974037,all
0.713097855,all
0.225966151,all
0.178892089,all
0.694011102,all
0.246338875,all
0.719678142,all
0.512940834,all
0.541366679,all
0.908960033,all
0.342721038,all
0.780499576,all
0.567841673,all
0.33486298,all
0.39919224,all
0.673403359,all
0.447514515,all
0.209052449,all
0.72380018,all
0.336335095,all
0.742568336,all
0.380610189,all
0.771514588,all
0.559400503,all
0.344599785,all
0.575660784,all
0.218052334,all
0.689729566,all
0.473561266,all
0.525816734,all
0.64427543,all
0.414763683,all
0.630766527,all
0.519362957,all
0.401256821,all
0.208234414,all
0.531537397,all
0.392624244,all
0.610487449,all
0.268623615,all
0.660746745,all
0.154946353,all
0.523990884,all
0.186181997,all
0.531266163,all
0.227478833,all
0.421981779,all
0.781200071,all
0.209723184,all
-0.326225163,all
0.156494257,all
0.288227231,all
0.71381035,all
0.723983035,all
0.600649057,all
0.498173378,all
0.028940408,all
0.451934147,all
0.231956009,all
0.970386482,all
0.783606988,all
0.060320616,all
0.120690551,all
0.607632109,all
0.146417521,all
0.18724826,all
0.219683781,all
0.023342661,all
0.584940408,all
0.347111858,all
0.776030437,all
0.247019813,all
0.56458234,all
0.032675786,all
1.216616366,all
0.715109519,all
0.720320399,all
0.296950756,all
0.556427112,all
0.296174423,all
0.600699041,all
0.361131042,all
0.334680072,all
0.650722167,all
0.636361922,all
0.643557966,all
0.086087532,all
0.320727741,all
0.583862956,all
0.687858255,all
-0.147601852,all
0.469860009,all
0.370631646,all
0.566191315,all
0.501051044,all
0.891863496,all
0.553249845,all
0.698707937,all
0.463201125,all
0.711426679,all
0.641573264,all
0.188543757,all
0.385992559,all
0.60063895,all
0.697436211,all
0.407698389,all
0.334625912,all
0.56915074,all
0.445909414,all
0.688949846,all
0.337908279,all
0.678820352,all
0.090047013,all
0.346291285,all
0.103461044,all
1.150000605,all
0.351072976,all
0.224302841,all
0.869725266,all
0.371557988,all
0.492474157,all
0.615723711,all
0.804835407,all
0.977159351,all
0.425005214,all
0.978275194,all
0.902631448,all
0.126056444,all
0.574725955,all
0.256960573,all
0.645983112,all
0.448814831,all
0.664495676,all
0.110736206,all
0.57048726,all
0.627245044,all
0.674141165,all
0.689783435,all
0.73660762,all
0.30525996,all
0.305804362,all
0.713226539,all
0.663993612,all
0.608566132,all
0.393704574,all
0.684099323,all
0.536924084,all
0.092423402,all
0.603608829,all
0.688713841,all
0.443810072,all
0.573815243,all
0.571077231,all
0.14317671,all
0.23718029,all
0.308532644,all
0.343006807,all
0.501646171,all
0.529702325,all
-0.053191936,all
0.22811827,all
0.486748183,all
0.229722977,all
0.501440579,all
0.580167555,all
0.582758112,all
0.521824286,all
0.982122477,all
0.463523042,all
0.513080424,all
0.796756777,all
0.219118973,all
0.179706497,all
0.099571943,all
0.685582044,all
0.127387856,all
0.979069394,all
0.487724392,all
0.634852805,all
-0.040251748,all
0.80831886,all
0.412651415,all
0.882379695,all
0.839026799,all
0.821853143,all
0.796535319,all
0.49784179,all
0.231876354,all
0.456491012,all
0.617878634,all
1.009238138,all
0.478270279,all
0.448821742,all
0.110656931,all
0.535158112,all
0.793684157,all
0.761455847,all
0.374276731,all
0.88737146,all
0.774650367,all
0.438629353,all
0.881277591,all
0.507291258,all
0.710172496,all
0.561650431,all
0.550817915,all
-0.032590283,all
0.357599765,all
0.140801044,all
0.574727761,all
0.745781182,all
0.444401544,all
0.883556992,all
0.142739713,all
0.500909182,all
-0.024375062,all
0.928854915,all
0.454631217,all
0.982612316,all
0.591588018,all
0.477641902,all
0.775876155,all
0.975054992,all
0.017241322,all
0.485070443,all
0.973018829,all
0.320443939,all
0.486585966,all
0.196095571,all
0.496672363,all
0.797152708,all
0.551148123,all
0.80089495,all
0.47465749,all
1.043285016,all
0.517273469,all
0.732420277,all
0.874590089,all
-0.007462912,all
0.706476843,all
0.267914295,all
0.278320146,all
0.753099928,all
0.820238792,all
0.371061785,all
0.875531124,all
0.920059747,all
0.608689597,all
0.958712729,all
0.243765938,all
0.332579494,all
0.585855884,all
0.616395059,all
0.695329048,all
0.31986326,all
0.346392388,all
0.482151531,all
0.739158243,all
0.602206721,all
0.652231397,all
0.695477701,all
0.099718635,all
0.644806079,all
0.81904987,all
0.547233011,all
0.773261043,all
0.576195807,all
0.60867763,all
0.471730507,all
0.740760423,all
0.813550517,all
0.672236392,all
-0.089117196,all
0.13759652,all
0.4974889,all
0.381278605,all
0.960325078,all
0.294973679,all
0.531283179,all
0.570023104,all
0.338408366,all
0.917304559,all
0.697951143,all
0.681356496,all
0.897786961,all
0.515751527,all
0.732068356,all
0.583400595,all
0.818945243,all
0.487599908,all
0.73687206,all
0.530229263,all
0.146383086,all
0.721021333,all
0.647409622,all
0.901437019,all
0.364892221,all
0.557675408,all
0.826126863,all
0.335357268,all
0.884649138,all
0.595443526,all
0.801444195,all
0.762643227,all
0.68576586,all
0.385306834,all
0.706460869,all
0.671628794,all
0.605783166,all
0.438368348,all
0.699338251,all
0.12680026,all
0.828950358,all
0.551983487,all
0.549634451,all
0.575691105,all
0.587664423,all
0.045703567,all
0.542431051,all
0.397806815,all
0.931752083,all
0.312740361,all
0.4666847,all
-0.183755467,all
0.533244613,all
0.726201407,all
0.519197166,all
0.885818299,all
0.485676538,all
0.366733714,all
0.551095879,all
0.538664091,all
0.760575176,all
0.529735994,all
0.678099024,all
0.377589289,all
0.395134199,all
0.484727234,all
0.1152836,all
0.802113325,all
0.453996061,all
-0.096031897,all
0.252542348,all
0.297771758,all
0.380796121,all
0.676762497,all
0.989240356,all
